Timestamp,Action Detected,Male Count,Female Count,Location
2024-12-04 21:58:25,Lone female detected,1,1,Unknown
2024-12-04 22:01:31,Violence against a woman,7,2,helloWorld
2024-12-04 22:01:46,Violence against a woman,4,1,helloWorld
2024-12-04 22:01:53,Lone female detected,0,1,helloWorld
2024-12-04 22:01:57,Lone female detected,0,1,helloWorld
2024-12-04 22:02:02,Lone female detected,0,1,helloWorld
2024-12-04 22:02:14,Lone female detected,0,1,helloWorld
2024-12-04 22:02:19,Lone female detected,0,1,helloWorld
2024-12-04 23:43:53,Lone female detected,0,1,Unknown
2024-12-05 11:35:33,Violence against a woman,6,1,Unknown
2024-12-05 14:32:47,Lone female detected,1,1,12
2024-12-05 14:33:01,Lone female detected,0,1,12
2024-12-05 17:12:41,Violence against a woman,2,1,12
2024-12-05 17:12:50,Violence against a woman,2,1,12
2024-12-05 17:13:04,Violence against a woman,1,1,12
2024-12-05 17:13:12,Lone female detected,0,1,12
2024-12-06 10:22:20,Lone female detected,3,1,aditya
2024-12-06 17:14:22,Violence against a woman,3,1,aditya
2024-12-06 20:16:56,Lone female detected,0,1,adi
2024-12-06 20:17:02,Lone female detected,0,1,adi
2024-12-06 20:17:05,Lone female detected,0,1,adi
2024-12-06 20:17:07,Lone female detected,0,1,adi
2024-12-06 20:17:10,Lone female detected,0,1,adi
2024-12-06 20:17:12,Lone female detected,0,1,adi
2024-12-06 20:17:16,Lone female detected,0,1,adi
2024-12-06 20:17:20,Lone female detected,0,1,adi
2024-12-06 20:17:39,Violence against a woman,1,1,adi
2024-12-06 20:17:42,Lone female detected,0,1,adi
2024-12-06 20:17:45,Lone female detected,0,1,adi
2024-12-06 20:17:56,Lone female detected,0,1,adi
2024-12-06 20:18:02,Lone female detected,3,1,adi
2024-12-06 20:18:11,Lone female detected,3,1,adi
2024-12-06 20:18:20,Violence against a woman,3,1,adi
2024-12-06 20:18:25,Lone female detected,1,1,adi
2024-12-06 20:18:29,Lone female detected,0,1,adi
2024-12-06 20:18:32,Lone female detected,0,1,adi
2024-12-06 20:18:35,Lone female detected,0,1,adi
2024-12-06 20:18:38,Lone female detected,0,1,adi
